tradeDate,tradeTime,tradeType,tradeSize,symbol,tradeCond,tradePrice,rawtradeId,tradeCnt,tradeAboveBelow,tradePivot,priceDist,pricePct,tradeStrong,tradeLeg,timestamp
2023-12-20,1600,BUY,10,META,atLimit,350.04,194,7,above,S1,4.22,1.2046%,0,1,2024-02-04T023127
2023-12-20,1600,BUY,10,GLD,atLimit,188.4,199,4,above,S1,0.15,0.0778%,0,1,2024-02-04T023127
2023-12-20,1500,SELL,10,GLD,atLimit,188.73,198,7,below,R1,-1.12,-0.5923%,0,1,2024-02-04T023127
2023-12-20,1445,SELL,10,ROKU,atLimit,92.62,193,5,below,R1,-3.33,-3.5953%,0,1,2024-02-04T023127
2023-12-20,1445,SELL,10,ROKU,atLimit,92.62,204,5,below,R1,-3.33,-3.5953%,0,1,2024-02-04T023127
2023-12-20,1430,SELL,10,TSLA,atLimit,256.87,192,5,below,R1,-2.49,-0.9689%,0,1,2024-02-04T023127
2023-12-20,1415,SELL,10,META,atLimit,352.98,190,4,below,R1,-1.32,-0.3740%,0,1,2024-02-04T023127
2023-12-20,1415,SELL,10,AMZN,atLimit,155.11,191,5,above,R1,0.08,0.0494%,1,1,2024-02-04T023127
2023-12-20,1400,BUY,10,INTC,atLimit,46.6,189,6,above,S1,0.71,1.5165%,0,1,2024-02-04T023127
2023-12-20,1400,SELL,10,NFLX,atLimit,500.21,201,8,above,R1,0.76,0.1515%,1,1,2024-02-04T023127
2023-12-20,1345,SELL,10,SPY,atLimit,475.61,188,5,below,R1,-0.07,-0.0147%,0,1,2024-02-04T023127
2023-12-20,1330,SELL,10,GS,atLimit,384.75,187,4,below,R1,-1.31,-0.3396%,0,1,2024-02-04T023127
2023-12-20,1315,BUY,10,NVDA,atLimit,497.89,170,5,above,S1,6.84,1.3731%,0,1,2024-02-04T023127
2023-12-20,1315,BUY,10,TSLA,atLimit,256.17,180,9,above,S1,2.15,0.8380%,0,1,2024-02-04T023127
2023-12-20,1315,BUY,10,META,atLimit,352.64,182,8,above,S1,6.82,1.9331%,0,1,2024-02-04T023127
2023-12-20,1315,SELL,10,ROKU,atLimit,92.32,186,4,below,R1,-3.63,-3.9270%,0,1,2024-02-04T023127
2023-12-20,1315,SELL,10,ROKU,atLimit,92.32,203,4,below,R1,-3.63,-3.9270%,0,1,2024-02-04T023127
2023-12-20,1300,BUY,10,AMZN,atLimit,154.51,172,7,above,S1,1.91,1.2340%,0,1,2024-02-04T023127
2023-12-20,1300,BUY,10,HBAN,atLimit,12.84,184,4,above,S1,0.19,1.4801%,0,1,2024-02-04T023127
2023-12-20,1245,SELL,10,GLD,atLimit,188.55,197,5,below,R1,-1.29,-0.6859%,0,1,2024-02-04T023127
2023-12-20,1230,BUY,10,SPY,atLimit,475.35,174,4,above,S1,2.15,0.4516%,0,1,2024-02-04T023127
2023-12-20,1215,SELL,10,GS,atLimit,383.43,176,7,below,R1,-2.63,-0.6848%,0,1,2024-02-04T023127
2023-12-20,1215,BUY,10,ROKU,atLimit,91.84,185,14,below,S1,-1.48,-1.6115%,1,1,2024-02-04T023127
2023-12-20,1215,buyToOpen_CALL_,4,ROKU,atLimit,91.84,185,90,STRIKE,S1,-1.48,-1.6115%,1,1,2024-02-04T023127
2023-12-20,1215,BUY,10,ROKU,atLimit,91.84,202,14,below,S1,-1.48,-1.6115%,1,1,2024-02-04T023127
2023-12-20,1215,buyToOpen_CALL_,4,ROKU,atLimit,91.84,202,90,STRIKE,S1,-1.48,-1.6115%,1,1,2024-02-04T023127
2023-12-20,1200,SELL,10,AAPL,atLimit,197.38,175,5,above,R1,0.09,0.0462%,1,1,2024-02-04T023127
2023-12-20,1200,SELL,10,HBAN,atLimit,12.84,183,4,below,R1,-0.02,-0.1817%,0,1,2024-02-04T023127
2023-12-20,1145,SELL,10,INTC,atLimit,46.78,177,4,below,R1,-0.28,-0.5961%,0,1,2024-02-04T023127
2023-12-20,1130,SELL,10,SPY,atLimit,475.3,173,5,below,R1,-0.38,-0.0800%,0,1,2024-02-04T023127
2023-12-20,1130,SELL,10,QQQ,atLimit,409.99,178,5,above,R1,0.15,0.0355%,1,1,2024-02-04T023127
2023-12-20,1130,buyToOpen_PUT_,0,QQQ,atLimit,409.99,178,410,STRIKE,R1,0.15,0.0355%,1,1,2024-02-04T023127
2023-12-20,1130,BUY,10,GLD,atLimit,188.52,196,6,above,S1,0.27,0.1432%,0,1,2024-02-04T023127
2023-12-20,1130,SELL,10,NFLX,atLimit,498.31,200,7,below,R1,-1.14,-0.2285%,0,1,2024-02-04T023127
2023-12-20,1115,SELL,10,AMZN,atLimit,155.15,171,6,above,R1,0.12,0.0745%,1,1,2024-02-04T023127
2023-12-20,1115,SELL,10,META,atLimit,353.68,181,4,below,R1,-0.62,-0.1753%,0,1,2024-02-04T023127
2023-12-20,1100,SELL,10,NVDA,atLimit,498.08,169,5,below,R1,-1.02,-0.2055%,0,1,2024-02-04T023127
2023-12-20,1100,SELL,10,TSLA,atLimit,258.71,179,5,below,R1,-0.64,-0.2482%,0,1,2024-02-04T023127
2023-12-20,1045,SELL,10,XOM,atLimit,103.32,195,4,below,R1,-0.19,-0.1796%,0,1,2024-02-04T023127
